1000,7,31,30,33,35,70,60,35,49,51,34,94,9,29,53,43,63,50,41,4,49,51,34,44,59,88,30,16,45,74,89,47,61,25,23,35,45,40,55,49,42,53,33,16,13,44,34,61,19,55,
2000,39,11,88,30,88,42,34,87,43,66,53,81,52,71,52,64,31,92,79,37,73,68,79,18,95,37,79,67,31,23,76,48,74,33,17,90,81,151,110,90,24,60,21,43,88,49,31,32,59,52,
3000,65,48,35,57,43,23,137,34,46,32,34,55,30,37,45,55,61,90,8,82,118,17,110,37,133,132,104,53,50,63,102,87,41,41,77,9,63,47,62,15,97,117,58,27,108,61,96,40,99,70,
4000,168,44,43,38,100,102,40,160,65,83,101,91,20,39,79,118,39,165,61,70,120,62,29,123,83,58,48,35,81,8,63,30,87,114,52,107,101,43,72,60,139,118,144,71,135,29,35,106,106,103,
5000,115,143,43,41,108,130,66,63,85,78,26,134,185,73,116,67,16,14,190,148,48,120,71,59,17,203,154,83,96,65,85,68,123,21,44,81,122,27,65,101,124,67,65,51,156,119,64,67,153,84,
6000,60,69,107,69,124,93,57,50,170,78,131,56,77,87,78,172,119,34,120,137,89,111,90,199,14,116,24,64,39,154,20,135,66,26,106,105,55,255,74,110,36,84,134,59,136,60,22,179,163,28,
7000,114,89,131,143,80,43,90,184,96,224,7,137,121,95,114,42,172,86,117,39,135,162,50,151,154,41,129,88,63,183,173,133,108,160,60,55,90,73,181,81,180,120,243,43,30,10,185,95,119,138,
8000,140,114,105,108,111,67,131,115,66,146,67,65,56,65,102,74,122,92,77,152,72,133,182,101,64,175,16,127,129,37,112,273,137,13,26,72,97,90,147,78,140,164,111,203,52,49,150,41,171,254,
9000,187,214,94,99,116,166,66,68,158,169,124,91,195,234,190,106,154,183,90,243,228,160,322,151,106,106,97,10,96,78,126,197,94,23,69,138,232,123,69,58,210,127,91,65,74,127,75,100,94,58,
10000,155,89,114,22,73,122,153,47,88,87,212,122,312,254,185,30,86,142,42,185,153,180,102,167,110,128,130,81,88,220,118,105,79,200,81,205,85,107,119,271,198,336,142,89,88,233,179,213,67,159,
11000,70,309,78,239,68,43,145,237,252,150,129,76,249,96,210,163,242,193,138,155,126,123,127,60,91,77,205,188,65,34,79,145,66,130,204,108,132,131,138,136,101,146,90,166,96,179,182,241,132,28,
12000,108,17,37,145,129,170,107,160,105,77,95,132,107,65,140,56,203,182,183,59,64,74,192,284,80,171,103,95,38,293,239,198,228,194,129,100,173,142,87,114,88,100,155,64,136,143,91,130,110,38,
13000,135,222,186,145,130,173,212,241,54,109,155,73,54,42,156,83,34,417,44,78,283,125,176,162,69,152,267,47,124,51,107,141,65,74,480,271,58,65,86,154,204,146,122,167,115,141,169,130,200,352,
14000,424,181,115,128,212,84,22,162,211,99,157,186,100,155,119,190,46,167,122,288,173,116,52,20,166,204,207,74,124,227,186,229,88,184,244,155,52,34,105,128,125,80,117,199,161,192,214,67,107,33,
15000,208,223,357,231,142,211,109,354,308,112,77,56,223,126,498,152,225,74,158,259,185,216,142,181,54,151,208,301,148,257,143,176,244,68,180,404,264,236,142,78,109,85,207,205,127,319,53,127,164,102,
16000,35,221,123,148,219,54,202,165,163,4,200,217,111,238,213,149,140,47,98,76,311,111,292,342,231,137,195,203,223,171,52,132,104,166,46,256,261,67,32,248,262,153,245,42,112,306,86,262,345,317,
17000,28,225,80,160,219,88,220,344,93,13,137,100,223,88,183,70,203,64,138,82,197,45,186,114,110,140,245,43,276,168,35,248,157,84,53,168,317,220,74,144,122,275,143,174,330,214,246,48,277,282,
18000,47,223,292,73,27,93,79,68,197,196,93,186,154,25,208,130,178,250,112,91,250,155,43,293,308,194,164,220,9,303,209,274,485,45,213,346,84,53,42,78,258,76,220,370,92,266,123,108,323,213,
19000,84,96,361,256,211,163,312,256,70,302,99,203,164,64,82,171,106,116,369,236,155,37,127,260,115,432,288,244,214,77,63,121,197,107,233,91,93,182,149,145,114,32,229,103,215,153,44,113,165,360,
20000,319,101,144,165,214,74,231,193,214,222,121,61,158,185,68,71,121,61,103,55,97,233,211,329,399,141,195,238,209,405,308,168,113,45,150,140,82,260,165,155,75,103,229,192,230,114,343,252,124,227,
21000,273,53,298,115,223,167,230,210,164,181,142,154,162,342,24,93,293,77,124,222,125,122,178,268,173,76,164,229,73,236,136,230,260,104,317,144,237,127,143,164,415,181,241,142,216,276,28,245,461,297,
22000,141,172,122,362,82,287,136,78,111,295,246,194,148,136,88,230,265,132,314,68,261,325,301,296,191,335,149,83,68,148,141,118,68,233,29,74,156,235,271,170,108,131,294,104,205,333,139,153,162,227,
23000,333,282,218,270,216,174,407,230,112,230,260,235,231,139,155,62,199,380,137,153,370,284,297,342,156,384,181,275,200,79,172,341,270,219,91,274,205,33,259,152,59,268,174,109,56,344,221,243,418,141,
24000,245,28,142,203,102,177,336,278,108,104,225,156,182,169,153,25,188,465,108,35,277,369,201,145,272,421,149,138,124,108,252,241,102,72,340,358,215,29,236,198,224,207,167,246,218,110,315,146,423,184,
25000,201,125,170,178,81,152,89,356,232,75,132,182,70,108,195,172,144,236,41,109,294,281,295,243,199,157,199,218,142,250,264,80,179,162,75,282,301,71,132,134,343,41,129,153,15,219,262,287,401,170,
26000,249,239,196,193,311,236,151,215,135,301,243,202,354,166,647,268,164,243,211,200,177,129,55,181,163,94,225,127,8,438,569,117,198,64,189,76,327,142,346,116,299,221,510,50,190,42,223,289,326,178,
27000,62,40,173,21,308,155,58,165,92,193,262,167,101,82,92,215,361,242,378,270,214,58,122,323,73,32,159,228,100,289,110,241,297,280,239,191,229,256,37,260,638,231,269,123,104,74,269,115,312,251,
28000,290,357,180,401,260,173,25,401,184,302,195,315,174,278,186,229,394,212,187,110,337,253,321,37,269,162,294,229,478,255,241,353,108,76,696,313,116,163,92,274,173,125,392,180,162,347,325,178,130,268,
29000,223,297,124,136,51,96,167,336,40,139,144,334,56,114,435,189,226,269,212,81,134,296,254,138,346,231,380,132,197,163,147,308,310,259,218,263,271,248,285,379,161,208,283,162,393,202,293,166,267,359,
30000,278,598,202,303,94,243,174,153,77,133,319,67,134,172,190,229,65,428,38,45,176,287,502,48,316,142,401,159,316,301,110,145,81,127,289,242,214,151,238,55,62,102,195,306,293,236,272,106,332,194,
31000,47,343,222,282,166,28,218,188,301,219,79,213,303,317,436,83,292,74,102,278,112,243,467,138,382,280,105,181,247,177,152,95,151,241,116,69,139,218,228,218,194,385,89,257,92,101,646,243,296,243,
32000,212,79,267,181,442,123,228,135,128,289,243,132,232,113,301,70,85,216,133,324,161,83,332,144,229,136,326,223,421,152,121,80,124,220,233,175,97,162,167,131,173,161,295,149,392,252,113,433,250,61,
