1000,6597,12510,6420,6664,7509,7318,8323,7854,5843,5742,6020,8554,8404,7584,7650,7790,9956,5103,5940,7280,9093,8351,7476,7118,6379,7571,6501,8331,6206,8417,5896,7579,9371,9087,6152,6075,5781,5831,6825,6463,6813,7068,6978,5743,7620,5545,7021,6853,7062,7136,
2000,13714,17501,18486,15937,19485,16680,16631,17099,15197,12790,18975,18960,15517,15249,17975,18345,14548,16987,20293,14421,11772,16599,14117,15201,13833,19086,18807,13604,16704,17755,15259,12251,12204,15330,17517,15978,16902,14531,17573,13162,17236,13771,18135,22574,13521,18084,16290,22761,16378,15510,
3000,31076,27528,31249,28458,33376,23880,20075,23095,25678,24578,28138,22803,24674,24815,28687,26560,31909,23592,23397,26159,31442,24092,22306,27158,24597,19787,26346,27974,25732,24155,24069,32084,22912,32772,30739,32561,23430,28133,26450,23420,24779,24230,31494,24582,21696,27160,28643,27020,26543,28816,
4000,40351,32178,38231,33679,30167,37477,33349,37144,29877,33211,35106,28931,31741,31922,38358,33530,36953,32436,30068,35176,33759,31839,31048,28545,31155,35904,30965,33343,37181,30657,46951,33545,44547,33055,31591,34928,39497,33557,31373,35857,34650,48027,33646,30692,33145,29566,34344,46186,34324,33381,
5000,48283,50199,49438,54082,47367,44684,50413,52140,46562,46351,43518,53599,53516,61182,45535,64058,37089,53181,38447,50030,45378,45719,40051,55272,42527,41939,41627,46896,53756,47212,39794,50290,58305,35131,44460,37394,41494,46774,48346,41854,45553,44424,51915,42821,47776,47198,51712,37563,42357,48682,
6000,58922,51614,46578,58433,52673,57040,51566,63810,50552,55921,58074,51745,58770,54667,54495,51175,51105,63180,64758,45673,54741,62104,47324,47789,49563,47758,54335,52498,56553,50008,56134,50721,50616,49923,51436,74108,45283,61468,62651,63630,59648,61703,41030,67184,63138,61912,58981,50050,56436,45325,
7000,71741,71266,60774,53533,69193,67233,61897,61388,71718,57524,72411,62086,73018,57788,72425,82757,73371,74980,58794,57151,77788,58837,66372,83268,69425,71444,60020,69275,56887,71489,59004,59412,66954,57460,58306,74532,56430,70419,58720,67764,67772,68649,64162,63975,59944,65092,59615,75697,64491,70563,
8000,100257,70433,76290,100456,82880,76026,58146,89779,64156,70974,83811,78933,87807,85888,62255,74033,75885,71892,70042,63399,73054,86741,82837,78899,73066,57498,95498,78565,80369,80288,85194,94826,72687,80305,69607,79777,64826,91229,65712,82663,78232,66904,79255,71482,63578,67950,82955,75401,85372,72466,
9000,93854,92662,77337,77049,99012,81464,86012,79747,91195,89954,83850,85342,66968,79673,96170,96885,129830,87448,111968,81130,89761,77504,103688,78341,90337,74346,106176,80795,101482,90532,84737,73349,78693,77561,79568,72817,76905,110135,82041,80235,110075,88498,92280,97380,106563,74409,87029,107418,108077,90370,
10000,97171,91767,111713,118424,94626,100610,88758,88669,135901,109262,93076,85185,157369,104430,95004,113174,96003,100556,108234,125000,102836,98461,83530,97364,104630,97463,85009,87261,99738,94757,86360,107088,112630,120972,95665,97827,92240,100578,91343,76899,103853,102410,91485,105440,92816,85811,90006,105119,111779,99025,
11000,117653,106182,102939,103546,104896,113079,110124,101067,137980,87398,122820,116749,148124,91486,93925,101488,109772,95472,123461,115973,116167,100799,103975,96148,92518,100763,98806,118906,117992,114522,121751,103307,120254,102278,99319,143476,92162,107267,99599,117677,96926,90212,123454,125360,91380,110143,128086,118737,122637,98643,
12000,110833,111199,105216,126614,204079,115713,127429,113441,126798,118365,125645,107177,112745,120067,95576,116786,114762,111040,92671,121468,149946,107965,116821,131301,110200,117440,107222,108871,113759,131762,114157,120385,171577,138550,106123,115149,121383,128583,145793,136626,100198,100318,127932,117046,109108,111171,99157,135203,113100,129387,
13000,128802,124397,135408,132762,139923,126224,127898,114956,112029,121768,130122,128232,111194,124345,126920,114778,127302,143165,120900,130026,145777,126664,145785,111249,117247,123236,127140,117117,106557,118136,123777,120256,113361,138094,133346,128709,107371,154558,137318,114643,128347,132317,132563,130283,136195,127776,117867,125707,146286,118144,
14000,129662,131054,132988,146765,130694,131972,195485,130169,167712,166770,129562,136899,149287,147303,136691,195925,131746,136504,164431,127585,126447,127525,134913,139577,148841,186734,143011,141529,149349,136824,194663,130150,125391,133003,144453,134829,140640,157937,181270,114206,141661,141198,134306,185644,132485,129361,126229,158269,150040,183614,
15000,142240,145636,155694,172371,152646,177653,176365,159144,132885,143020,147083,164445,128561,150746,153726,160990,169376,150660,195856,144564,160676,153245,171292,141365,151521,151231,145438,143889,138118,144164,132444,135389,142509,139784,179145,150066,181760,143824,139789,159724,165069,130496,134529,140736,154213,139698,138256,148610,144884,143446,
