1000,3320,917,3086,3996,1283,737,1100,1355,5700,3999,3137,803,883,1901,1393,4001,18,3194,3166,3630,405,243,1972,1983,4862,2366,2255,2078,7537,1789,4788,1873,358,3735,2259,2665,2498,2174,3419,1301,5335,1847,1893,4213,1694,2229,2909,4156,2218,3018,
2000,7662,7038,13258,5700,3192,2869,2562,6699,2788,7122,2579,5116,5647,3876,587,5187,3391,2694,281,3753,9090,3861,4449,5578,8147,2672,403,12909,977,3475,6149,9703,5457,1683,6444,1730,5463,9748,1518,6493,9012,6930,2620,1698,7099,677,6839,3246,3861,4926,
3000,4912,7979,1296,5389,3537,7670,8796,15412,8612,8253,8220,3903,17577,12974,6490,6821,8030,3899,7937,8851,4558,4206,4847,10918,1062,17084,4822,5403,13534,2998,2642,7001,22147,647,4857,7147,8219,3320,6238,5899,11342,7719,15190,7174,9120,2432,9269,4561,4234,3973,
4000,7526,5321,3071,4466,18721,6303,6049,5473,16148,9318,10543,16313,13285,11159,12079,11721,4894,16652,8832,9018,9618,15808,16088,9339,7334,7382,13631,5909,14872,9174,3430,14303,7257,20103,13861,8077,4330,7465,5601,3012,14717,8581,20793,8488,6176,12074,13417,5128,5013,12390,
5000,11480,2215,11161,15958,5986,11745,14271,5967,31175,17636,23516,14786,1040,2380,5740,761,12338,6171,18055,8140,9452,15602,34948,7,16306,31640,11327,4327,6674,27547,32534,393,9628,21858,23454,16799,9792,5958,5763,11833,12206,13356,3237,48017,10765,6799,7572,26377,12641,1855,
6000,12625,3517,25337,23488,8853,1129,10617,16460,10187,26097,11099,11531,16309,18912,10176,12561,7191,10340,11196,34349,18187,14144,17998,12053,11041,21248,12346,15476,17066,22012,13500,15972,11816,13556,15630,14779,21690,658,8509,4769,6124,3206,34524,2229,241,10472,14390,15143,7845,23033,
7000,6096,4079,38353,21831,21223,41912,20722,41624,18847,30807,27379,27703,14487,21502,528,226,5865,13473,32205,25566,6959,22611,22775,6052,42125,41374,21648,35246,15481,26723,35443,21678,12080,30163,29705,21224,18825,4730,18728,3343,10420,4786,8797,8341,43982,17726,18009,9046,12154,35881,
8000,8652,11538,15758,2321,22916,22888,32617,9851,31070,14506,33571,35258,2002,9515,24704,10064,35779,27569,4425,27047,13809,7264,35728,17572,21930,23701,4661,23985,35990,6383,18575,4645,16629,10221,24733,11069,23082,8425,17839,25950,31972,21254,18234,58469,27302,10939,9747,19526,1841,11414,
9000,8151,26709,27227,22076,858,23377,34773,20373,11652,4090,15470,17379,49820,38227,25158,15292,1014,20871,8693,31974,13119,18059,16735,26446,13582,22121,11770,20113,10531,13438,12861,23866,42938,21772,26784,36995,11733,33149,40283,32008,1999,7844,6063,494,26975,33341,27744,17724,2667,23074,
10000,19393,11565,13398,15690,13557,35047,43516,46430,6170,63338,39750,41932,3518,52868,26855,43012,11120,7891,1712,173,25517,25513,34485,13721,33754,28022,33696,50803,28633,12701,18247,13980,17052,5918,24680,35967,22027,16901,31144,25588,21906,27839,27652,11452,32769,62761,18002,28906,13129,27153,
11000,9396,20634,32965,52682,12863,20411,24605,27333,21032,85247,36365,25290,2499,28236,64381,23047,18410,42037,15604,58376,41036,39478,40091,33722,56741,28483,38612,17870,19438,17243,21744,42347,21178,22572,61242,6672,53465,52729,46589,2439,27647,45602,16732,15894,47341,74064,5932,10955,29442,33672,
12000,37770,34457,23637,31747,5107,34695,15134,18531,12558,30121,4351,43872,20252,25518,48955,52053,28479,33928,55624,15262,10438,33586,15706,14185,45131,13046,47895,40217,36400,23495,43725,19105,1124,44552,30935,47635,22625,54231,6187,23708,58397,48821,13057,13232,32479,65645,61838,10326,40574,9303,
13000,30367,47352,24573,42737,28021,17062,34989,57243,33761,36203,20564,32950,38897,18146,28111,28678,29469,20238,31826,27326,6163,33532,20380,52913,61545,62594,17067,17084,59530,54279,41986,59342,40373,38138,36954,31367,47320,39974,34645,44281,45462,16828,16748,34051,21165,36143,37336,42378,12766,57784,
14000,32453,69071,73160,44558,39937,31686,1528,48109,5392,8819,21842,45963,11907,23094,27898,4818,54475,49649,12836,32602,35580,56902,24710,24301,8811,2383,17804,44136,31116,38863,28419,26365,78297,42471,15667,40691,58202,13955,20006,72943,36843,16088,38655,27189,53519,55526,36541,4184,36842,13590,
15000,40373,41032,35208,19273,50848,3750,40122,31928,62220,41140,65889,17563,59589,83549,66275,31660,43632,34942,10677,27062,30459,32825,13356,30305,23511,77778,24871,22772,58945,28222,55835,35993,44883,22191,33623,66197,29105,18499,56908,29884,34415,42873,35786,42331,35784,22077,56545,71059,18637,63047,
16000,63522,49206,32684,31084,21574,41932,58011,65061,83301,59518,74166,66960,25468,55852,26123,29924,41841,42394,60474,5872,50307,12904,57042,31331,21773,10648,40367,857,40256,66920,33245,25047,48582,22740,49355,52826,17560,83836,52266,84707,32132,34006,8230,20824,43909,31307,48602,50398,11832,20077,
17000,20075,69928,23434,11313,3825,54275,39387,42997,18515,13960,22022,19736,54704,65500,31936,143660,81539,103294,21297,38126,27614,42178,28494,56129,85953,40711,55609,91306,4171,59188,51819,24801,25221,46348,49445,48188,42696,29144,50349,61134,55024,36762,21455,39400,68944,59462,12721,53004,24261,70131,
