1000,375,345,375,363,387,372,350,350,365,364,367,368,379,358,362,368,352,371,369,351,379,352,362,359,368,372,376,381,342,379,358,361,388,358,368,361,369,373,376,375,360,369,364,370,362,379,373,383,369,367,
2000,731,756,728,735,721,732,732,726,754,742,736,744,756,719,707,747,718,758,725,732,728,734,754,734,734,762,741,709,749,713,759,745,736,709,733,731,737,750,733,716,736,756,744,738,758,739,727,749,740,719,
3000,1106,1097,1133,1098,1086,1091,1126,1088,1138,1097,1117,1121,1095,1106,1083,1088,1096,1093,1098,1098,1119,1091,1087,1099,1093,1095,1105,1103,1100,1083,1100,1092,1098,1097,1082,1117,1124,1103,1095,1086,1097,1109,1131,1100,1081,1115,1116,1082,1098,1098,
4000,1438,1489,1472,1493,1460,1488,1487,1436,1493,1461,1439,1458,1469,1498,1454,1449,1479,1439,1465,1435,1451,1489,1482,1476,1487,1466,1486,1478,1466,1446,1468,1488,1479,1419,1476,1438,1479,1477,1468,1486,1492,1450,1448,1446,1455,1491,1471,1474,1485,1481,
5000,1844,1826,1844,1844,1815,1837,1801,1865,1835,1831,1841,1882,1861,1857,1844,1846,1830,1832,1850,1805,1830,1817,1854,1823,1898,1891,1829,1825,1822,1830,1861,1845,1841,1841,1879,1820,1851,1811,1826,1837,1842,1887,1831,1830,1822,1831,1861,1816,1818,1854,
6000,2215,2208,2216,2196,2210,2193,2192,2181,2213,2243,2195,2260,2186,2206,2211,2165,2230,2202,2190,2254,2253,2253,2199,2231,2235,2196,2219,2152,2194,2230,2259,2201,2267,2202,2188,2251,2205,2205,2175,2200,2197,2210,2212,2219,2179,2225,2182,2255,2221,2238,
7000,2565,2558,2558,2566,2554,2558,2599,2561,2610,2578,2548,2565,2574,2625,2558,2605,2558,2600,2522,2599,2561,2585,2597,2579,2564,2515,2570,2644,2617,2585,2591,2546,2587,2575,2611,2529,2568,2602,2560,2570,2543,2542,2564,2582,2593,2577,2552,2582,2567,2622,
8000,2964,2988,2955,2930,2976,2969,2916,2963,2950,2985,2961,2967,2967,2926,2924,2927,2952,2976,2923,2933,3010,2966,2926,2974,2946,2938,2949,2938,2956,2958,2896,2986,2980,2925,2942,2942,2889,2943,2980,2931,2972,2952,2950,2925,2989,2964,2951,2955,2931,2915,
9000,3310,3293,3237,3297,3397,3261,3293,3294,3298,3259,3315,3338,3297,3288,3291,3348,3274,3299,3331,3316,3300,3292,3318,3288,3340,3282,3319,3272,3269,3310,3296,3277,3323,3360,3334,3354,3295,3266,3315,3337,3300,3321,3314,3352,3322,3303,3389,3310,3283,3334,
10000,3631,3718,3657,3688,3731,3678,3713,3630,3652,3679,3692,3651,3668,3714,3685,3700,3691,3692,3711,3648,3667,3649,3650,3676,3614,3713,3663,3651,3653,3725,3690,3668,3671,3574,3707,3703,3755,3694,3663,3664,3676,3713,3706,3671,3703,3672,3648,3726,3667,3701,
11000,4080,4058,4022,4097,4047,4114,4077,4103,4054,3988,4049,3982,4053,4049,4031,4005,4052,4054,4077,4030,4044,4067,4019,4062,4020,4003,4036,4050,4072,4074,4044,3957,3975,4060,4017,4061,4079,3999,4023,4072,4070,4017,4026,4033,3981,4048,3967,4109,4039,4021,
