n;Wynik 1;Wynik 2;Wynik 3;Wynik 4;Wynik 5;Wynik 6;Wynik 7;Wynik 8;Wynik 9;Wynik 10;Wynik 11;Wynik 12;Wynik 13;Wynik 14;Wynik 15;Wynik 16;Wynik 17;Wynik 18;Wynik 19;Wynik 20;Wynik 21;Wynik 22;Wynik 23;Wynik 24;Wynik 25;Wynik 26;Wynik 27;Wynik 28;Wynik 29;Wynik 30;Wynik 31;Wynik 32;Wynik 33;Wynik 34;Wynik 35;Wynik 36;Wynik 37;Wynik 38;Wynik 39;Wynik 40;Wynik 41;Wynik 42;Wynik 43;Wynik 44;Wynik 45;Wynik 46;Wynik 47;Wynik 48;Wynik 49;Wynik 50;
50;2.38761;2.13628;2.07345;1.94779;1.88496;2.01062;2.26195;2.19911;2.38761;1.82212;1.94779;2.26195;2.63894;2.07345;2.38761;2.07345;1.88496;1.75929;1.94779;2.01062;2.07345;1.69646;1.82212;2.19911;2.19911;1.63363;1.88496;1.94779;1.75929;1.88496;1.75929;2.01062;2.19911;2.32478;1.94779;1.82212;1.5708;2.07345;2.07345;1.94779;2.19911;1.82212;2.19911;2.26195;1.94779;1.82212;1.94779;1.88496;1.75929;2.45044;
100;2.23053;2.10487;1.91637;1.79071;1.88496;1.85354;1.91637;2.04204;1.91637;1.9792;2.01062;2.1677;2.19911;2.13628;1.85354;2.19911;1.9792;2.32478;1.91637;1.69646;1.94779;1.69646;2.10487;1.85354;1.72788;1.82212;1.85354;2.01062;1.94779;1.85354;2.13628;2.07345;2.1677;1.85354;1.85354;1.9792;1.82212;1.9792;1.91637;2.32478;1.75929;1.75929;2.07345;1.69646;1.9792;2.07345;2.07345;2.01062;2.04204;1.9792;
150;1.9059;2.05251;2.01062;1.9059;2.03156;2.0944;2.19911;2.05251;1.98968;2.05251;2.13628;1.84307;1.94779;2.03156;2.07345;1.82212;2.22006;2.01062;1.94779;1.69646;1.84307;1.9059;1.96873;1.82212;2.01062;1.94779;2.28289;1.82212;1.92684;1.65457;1.88496;2.05251;2.01062;2.11534;1.9059;2.15723;2.01062;2.15723;1.86401;2.11534;2.07345;2.13628;2.13628;2.07345;1.75929;2.17817;1.88496;2.22006;2.01062;1.88496;
200;1.9792;1.93208;2.01062;2.08916;2.07345;2.15199;2.19911;2.02633;1.9792;1.99491;1.93208;1.83783;2.08916;1.91637;2.12058;1.9792;2.21482;1.9792;2.13628;1.83783;2.04204;1.9635;1.93208;1.85354;1.93208;2.04204;2.21482;1.82212;1.99491;1.94779;1.9792;1.90066;1.94779;1.90066;1.775;1.85354;2.12058;2.02633;1.85354;1.88496;1.99491;2.18341;1.88496;2.08916;1.93208;1.9635;1.93208;2.19911;2.02633;1.93208;
250;1.91009;2.02319;1.94779;2.01062;1.93522;2.02319;2.03575;1.97292;1.92265;1.94779;2.01062;2.02319;1.92265;2.01062;1.68389;2.11115;2.01062;1.85982;2.21168;1.87239;2.01062;1.94779;1.77186;1.92265;1.99805;1.93522;1.93522;2.17398;2.09858;1.93522;1.79699;1.89752;1.87239;1.82212;2.02319;1.82212;1.99805;2.01062;2.12372;2.03575;2.02319;1.84726;1.84726;1.96035;2.01062;1.82212;1.96035;2.02319;2.13628;1.92265;
300;1.95826;1.96873;2.03156;1.95826;2.02109;2.06298;1.94779;2.04204;2.02109;2.14675;2.1677;2.05251;2.05251;1.88496;2.02109;2.08392;2.15723;1.88496;2.02109;2.07345;1.92684;1.8326;1.87448;2.02109;2.08392;2.17817;1.80118;1.94779;2.08392;2.00015;2.00015;1.88496;1.98968;2.18864;1.91637;1.88496;1.9792;1.93732;1.91637;1.9792;1.8326;1.9792;2.07345;2.12581;1.92684;2.05251;2.14675;2.01062;2.06298;1.93732;
350;2.04652;2.18116;2.0555;1.96574;1.96574;2.12731;1.98369;2.07345;2.0914;2.16321;2.10936;2.13628;2.01062;2.04652;1.90291;1.92984;1.99267;2.07345;2.0555;1.91188;2.0914;1.99267;2.08243;1.99267;1.94779;1.84905;1.94779;2.0555;2.0196;1.95676;2.03755;2.08243;1.95676;1.99267;1.90291;2.0196;1.98369;1.98369;1.94779;2.01062;1.93881;1.98369;1.99267;1.99267;1.97472;2.07345;2.07345;1.91188;1.95676;1.91188;
400;2.07345;2.02633;1.97135;2.01062;1.82998;2.03418;2.12843;1.90066;2.04204;2.02633;2.08916;2.00277;1.97135;1.9635;2.09701;2.05774;2.09701;2.08131;1.85354;2.04204;1.98706;2.07345;2.01847;2.08916;1.85354;1.99491;1.9635;1.97135;1.91637;2.01062;2.01062;1.75929;2.02633;1.9635;2.09701;2.11272;2.01062;2.01062;1.95564;1.95564;2.00277;1.97135;2.01062;2.02633;1.9635;2.14414;2.13628;2.08916;1.93993;2.00277;
450;2.08043;1.94081;2.04553;1.92684;1.89892;1.97571;1.9059;2.04553;1.93382;2.06647;1.98269;1.93382;1.96175;1.9059;1.89194;1.84307;2.06647;1.86401;1.89194;1.97571;2.04553;2.03854;2.03156;1.98269;1.93382;2.07345;2.1293;2.08741;2.08741;1.96175;2.11534;2.05251;2.00364;1.96175;1.87099;1.98269;1.98968;2.0944;1.9059;2.16421;2.03156;2.05949;2.05251;2.21308;2.1293;2.06647;2.00364;2.03854;1.87099;1.98968;
500;1.95407;1.9792;2.11115;1.95407;1.97292;1.91009;1.85982;1.98549;2.04204;2.00434;2.0546;2.03575;2.02947;2.01062;1.85982;2.07973;1.87867;2.06717;2.10487;2.0546;1.95407;2.04832;1.99177;2.00434;1.97292;2.10487;1.9415;1.92894;2.0169;1.98549;1.96035;1.91637;2.00434;2.0169;2.02319;2.13628;1.95407;1.99805;1.90381;1.91009;2.06088;1.96035;1.9792;2.09858;2.02947;1.96664;2.04204;1.92265;2.1677;1.90381;
550;2.05632;2.01633;1.91352;1.92494;1.88496;2.02776;2.03347;1.91923;1.9992;2.08488;1.98777;1.97064;2.0506;2.07916;1.9535;1.9992;2.00491;1.94208;2.09059;1.89638;1.98206;1.9535;2.00491;1.93636;1.8564;2.14199;1.95921;1.93636;2.01062;1.9535;1.99348;1.94779;1.99348;2.05632;2.02776;1.93636;1.96492;2.07916;1.94779;2.06203;2.01062;2.15342;2.09059;1.9535;2.07345;1.88496;2.02776;1.97635;1.94208;1.93065;
